item,vehicle,year,principal
11634,293,2490,0
11634,293,14028,0
11634,290,2491,0
11634,995,2493,0
11634,995,14000,0
11634,690,2494,0
11634,690,13568,0
11634,1843,14223,0
11634,304,2664,0
11634,305,2665,0
11635,293,2490,0
11635,293,14028,0
11635,290,2491,0
11635,995,2493,0
11635,995,14000,0
11635,690,2494,0
11635,690,13568,0
11635,1843,14223,0
11635,304,2664,0
11635,305,2665,0
11636,293,2490,0
11636,293,14028,0
11636,290,2491,0
11636,995,2493,0
11636,995,14000,0
11636,690,2494,0
11636,690,13568,0
11636,1843,14223,0
11636,304,2664,0
11636,305,2665,0
11637,293,2490,0
11637,293,14028,0
11637,290,2491,0
11637,995,2493,0
11637,995,14000,0
11637,690,2494,0
11637,690,13568,0
11637,1843,14223,0
11637,304,2664,0
11637,305,2665,0
11638,293,2490,0
11638,293,14028,0
11638,290,2491,0
11638,995,2493,0
11638,995,14000,0
11638,690,2494,0
11638,690,13568,0
11638,1843,14223,0
11638,304,2664,0
11638,305,2665,0
11639,293,2490,0
11639,293,14028,0
11639,290,2491,0
11639,995,2493,0
11639,995,14000,0
11639,690,2494,0
11639,690,13568,0
11639,1843,14223,0
11639,304,2664,0
11639,305,2665,0
11640,293,2490,0
11640,293,14028,0
11640,290,2491,0
11640,995,2493,0
11640,995,14000,0
11640,690,2494,0
11640,690,13568,0
11640,1843,14223,0
11640,304,2664,0
11640,305,2665,0
11641,293,2490,0
11641,293,14028,0
11641,290,2491,0
11641,995,2493,0
11641,995,14000,0
11641,690,2494,0
11641,690,13568,0
11641,1843,14223,0
11641,304,2664,0
11641,305,2665,0
11642,293,2490,0
11642,293,14028,0
11642,290,2491,0
11642,995,2493,0
11642,995,14000,0
11642,690,2494,0
11642,690,13568,0
11642,1843,14223,0
11642,304,2664,0
11642,305,2665,0
11643,293,2490,0
11643,293,14028,0
11643,290,2491,0
11643,995,2493,0
11643,995,14000,0
11643,690,2494,0
11643,690,13568,0
11643,1843,14223,0
11643,304,2664,0
11643,305,2665,0
